"name","RAM"
"Vivo Z1 Pro","4RAM"
"Xiaomi Redmi Note 7 Pro","4RAM"
"Realme C2 2GB RAM","2RAM"
"Realme C2","2RAM"
"Apple iPhone 6 128GB","1RAM"
"Apple iPhone 6 64GB","1RAM"
"Realme C2 32GB","3RAM"
"Xiaomi Redmi Note 7S","3RAM"
"Samsung Galaxy A50","4RAM"
"Realme 3 Pro","4RAM"
"Realme 3","3RAM"
"Xiaomi Redmi Note 7 Pro 6GB RAM","6RAM"
"Samsung Galaxy M40","6RAM"
"Vivo S1","4RAM"
"Realme 3i","3RAM"
"Apple iPhone 6 32GB","1RAM"
"Apple iPhone 6S 128GB","2RAM"
"Apple iPhone 6S 64GB","2RAM"
"Samsung Galaxy M20","3RAM"
"Apple iPhone SE 64GB","2RAM"
"Apple iPhone 5se","2RAM"
"Samsung Galaxy M30","4RAM"
"Xiaomi Redmi 6A 32GB","2RAM"
"Realme X","4RAM"
"Xiaomi Redmi 7A","2RAM"
"Xiaomi Redmi Note 7 Pro 128GB","6RAM"
"Apple iPhone 6s 32GB","2RAM"
"Reliance Jio Phone 3","2RAM"
"OnePlus 7","6RAM"
"Xiaomi Redmi K20 Pro","6RAM"
"Xiaomi Redmi 6","3RAM"
"Samsung Galaxy A70","6RAM"
"Apple iPhone 7 256GB","2RAM"
"Xiaomi Redmi 7","2RAM"
"Apple iPhone 7 128GB","2RAM"
"Oppo F11 Pro","6RAM"
"Realme 3 3GB RAM","3RAM"
"Xiaomi Redmi Note 7","3RAM"
"OnePlus 7 Pro","6RAM"
"Vivo V15 Pro","6RAM"
"Xiaomi Redmi 6A","2RAM"
"Xiaomi Redmi Note 7S 64GB","4RAM"
"Oppo K3","6RAM"
"Samsung Galaxy A30","4RAM"
"Samsung Galaxy M20 64GB","4RAM"
"Oppo A5s","2RAM"
"Vivo Y15 2019","4RAM"
"Xiaomi Redmi 6 64GB","3RAM"
"Samsung Galaxy A20","3RAM"
"Vivo V15","6RAM"
"Xiaomi Redmi K20","6RAM"
"Apple iPhone 7","2RAM"
"Xiaomi Redmi Note 6 Pro","4RAM"
"Xiaomi Redmi Y3","3RAM"
"Samsung Galaxy A10","2RAM"
"Xiaomi Redmi Go","1RAM"
"Oppo F11","4RAM"
"Realme 2 Pro","4RAM"
"Vivo Z1 Pro 128GB","6RAM"
"Xiaomi Mi A3","4RAM"
"OnePlus 6T","6RAM"
"Xiaomi Redmi 7A 32GB","2RAM"
"Vivo Y17","4RAM"
"Poco F1","6RAM"
"Oppo K1","4RAM"
"Apple iPhone 5s","1RAM"
"Vivo Y12","4RAM"
"Realme 3 Pro 128GB","6RAM"
"Oppo Reno","8RAM"
"Apple iPhone X","3RAM"
"Samsung Galaxy S10 Plus","8RAM"
"Xiaomi Mi A2","4RAM"
"Samsung Galaxy A80","8RAM"
"Vivo Z1 Pro 6GB RAM","6RAM"
"Realme 3 Pro 6GB RAM","6RAM"
"LG W30","3RAM"
"Realme U1","3RAM"
"Xiaomi Redmi Note 8 Pro","6RAM"
"Xiaomi Redmi Note 5 Pro","4RAM"
"Realme 3 64GB","4RAM"
"Motorola One Power","4RAM"
"Asus ROG Phone 2","8RAM"
"Motorola One Vision","4RAM"
"Asus Zenfone Max Pro M1 64GB","4RAM"
"Honor 9X","4RAM"
"Realme X Pro","6RAM"
"Vivo Y91","2RAM"
"Asus Zenfone Max Pro","3RAM"
"Samsung Galaxy M10","2RAM"
"Honor 9N 64GB","4RAM"
"Xiaomi Mi 8 Pro","6RAM"
"Xiaomi Redmi 6 Pro","3RAM"
"Apple iPhone XR","3RAM"
"Samsung Galaxy A7 2018","4RAM"
"Nokia 6.1 Plus","4RAM"
"Realme C1","2RAM"
"Samsung Galaxy M30 128GB","6RAM"
"Infinix Smart 3 Plus","2RAM"
"Infinix Hot 7 Pro","6RAM"
"Apple iPhone 7 Plus","3RAM"
"Infinix S4","3RAM"
"Xiaomi Redmi Go 16GB","1RAM"
"Xiaomi Redmi Note 7 64GB","4RAM"
"Oppo A7","4RAM"
"Honor 20 Lite","4RAM"
"Huawei Y9 Prime 2019","4RAM"
"Apple iPhone 6s Plus","2RAM"
"Nokia 5.1 Plus","3RAM"
"Asus Zenfone Max M1","3RAM"
"Asus Zenfone 6Z","6RAM"
"Honor 9N 128GB","4RAM"
"Oppo F11 Pro 128GB","6RAM"
"Samsung Galaxy A50 6GB RAM","6RAM"
"Oppo Reno 10x Zoom Edition","6RAM"
"Asus Zenfone Lite L1","2RAM"
"Apple iPhone 6S Plus 32GB","2RAM"
"Vivo V11","6RAM"
"Infinix Hot 7","4RAM"
"Vivo Z5","6RAM"
"Honor 8C","4RAM"
"Honor Play 7","2RAM"
"Samsung Galaxy S10","8RAM"
"Oppo A5","4RAM"
"Samsung Galaxy M10 32GB","3RAM"
"Vivo Z5x","4RAM"
"Vivo U1","3RAM"
"Nokia 6 2018","3RAM"
"Vivo Y91i","2RAM"
"Apple iPhone SE 32GB","2RAM"
"Oppo F9 Pro","6RAM"
"Xiaomi Black Shark 2","6RAM"
"Huawei P30 Pro","8RAM"
"Oppo A3s","2RAM"
"Vivo V17","6RAM"
"Vivo Y81","3RAM"
"Samsung Galaxy Note 10","8RAM"
"Xiaomi Redmi S2","3RAM"
"Realme 5","3RAM"
"Vivo Y91 3GB RAM","3RAM"
"Oppo A5s 3GB RAM","3RAM"
"Vivo Y95","4RAM"
"Vivo Y93","4RAM"
"Samsung Guru Music 2 SM-B310E",
"Samsung Galaxy A60","6RAM"
"Realme C1 2019","2RAM"
"Samsung Galaxy A2 Core","1RAM"
"Honor 9 Lite","3RAM"
"Vivo V9","4RAM"
"OnePlus 6T 8GB RAM","8RAM"
"Asus Zenfone Max Pro M1 6GB RAM","6RAM"
"Samsung Galaxy J6","3RAM"
"Oppo A1K","2RAM"
"Honor 9N","3RAM"
"Apple iPhone SE 128GB","2RAM"
"Xiaomi Redmi Note 5 Pro 6GB RAM","6RAM"
"LG W10","3RAM"
"Honor 10 Lite","4RAM"
"Xiaomi Mi CC9","6RAM"
"Apple iPhone XI","4RAM"
"Asus Zenfone Max Pro M2","3RAM"
"Xiaomi Redmi Note 5","3RAM"
"Nokia 8.1","4RAM"
"Realme 2","3RAM"
"Poco F1 128GB","6RAM"
"Asus Zenfone 6 2018","4RAM"
"Asus Zenfone Max M2","3RAM"
"Honor 8X","4RAM"
"Samsung Galaxy J7 Prime","3RAM"
"Xiaomi Redmi Y2 64GB","4RAM"
"Poco F2","6RAM"
"Samsung E1200",
"Samsung Galaxy J8 2018","4RAM"
"Apple iPhone XS Max","4RAM"
"Oppo A9","4RAM"
"Apple iPhone 7 Plus 256GB","3RAM"
"Honor 9X Pro","8RAM"
"Xiaomi Redmi Note 4 64GB","4RAM"
"Xiaomi Redmi Y3 64GB","4RAM"
"Apple iPhone 7 Plus 128GB","3RAM"
"Xiaomi Redmi 7 3GB RAM","3RAM"
"Samsung Galaxy A90","6RAM"
"Poco F1 Armoured Edition 128GB","6RAM"
"Vivo Y93 64GB","3RAM"
"Oppo F9","4RAM"
"Reliance JioPhone","2RAM"
"Vivo V11 new","6RAM"
"Motorola E5 Plus","3RAM"
"Honor Play","4RAM"
"Xiaomi Redmi 6 Pro 64GB","4RAM"
"Samsung Galaxy Note 8","6RAM"
"Nokia 4.2","3RAM"
"Infinix Smart 2","2RAM"
"Vivo V15 Pro 8GB RAM","8RAM"
"OnePlus 7 Pro 12GB RAM","2RAM"
"Apple iPhone XS","4RAM"
"Realme U1 64GB","4RAM"
"OnePlus 7 256GB","8RAM"
"Realme 4","4RAM"
"Nubia Red Magic 3","8RAM"
"Samsung Galaxy Note 9","6RAM"
"Nokia 2.1","1RAM"
"Oppo A5s 64GB","4RAM"
"Honor 8C 64GB","4RAM"
"Oppo F7","4RAM"
"Xiaomi Redmi 5A","2RAM"
"Xiaomi Mi 9","6RAM"
"Samsung Galaxy J4 Plus","2RAM"
"Samsung Galaxy J6 64GB","4RAM"
"Lava A1",
"Nokia 8110 4G","2RAM"
"Honor 9i","4RAM"
"Xiaomi Mi A2 128GB","6RAM"
"Samsung Galaxy S9 Plus","6RAM"
"OnePlus 6","6RAM"
"Samsung Galaxy J6 Plus","4RAM"
"Apple iPhone 8 Plus","3RAM"
"LG W30 Pro","4RAM"
"Samsung Galaxy J2 Core","1RAM"
"Oppo A5 64GB","4RAM"
"Nokia 2.2","2RAM"
"Samsung Guru Plus",
"Xiaomi Mi 8","6RAM"
"Xiaomi Redmi Note 6 Pro 6GB RAM","6RAM"
"Swipe Konnect Prime 4G","1RAM"
"Nokia 216 Dual SIM","6RAM"
"Nokia 6.1 Plus 6GB RAM","6RAM"
"Vivo V7 Plus","4RAM"
"Xiaomi Mi CC9e","4RAM"
"Samsung Galaxy M60","6RAM"
"Huawei P30 Lite","4RAM"
"Vivo Y91i 32GB","2RAM"
"Nokia 105 2017",
"Nokia X71","6RAM"
"Oppo A3s 64GB","4RAM"
"Samsung Galaxy A8 Star","6RAM"
"Micromax Bharat 5 Infinity Edition","1RAM"
"Samsung Galaxy A9 2018","6RAM"
"Realme 4 Pro","4RAM"
"Honor 7A","3RAM"
"Tecno Phantom 9","6RAM"
"Samsung Galaxy S10 E","6RAM"
"Nokia 6 2018 64GB","4RAM"
"Samsung Galaxy A6 Plus","4RAM"
"OnePlus 7 Pro 256GB","8RAM"
"Infinix Note 5","3RAM"
"Samsung Galaxy Note 10 Pro","2RAM"
"Qin AI Phone","6RAM"
"Huawei Y9 2019","4RAM"
"Nokia 3.1 Plus 32GB","3RAM"
"Nokia 7.1","4RAM"
"Samsung Galaxy A40","4RAM"
"Realme 3i 64GB","4RAM"
"Samsung Galaxy A8 Plus 2018","6RAM"
"Lenovo K8 Note","4RAM"
"Nokia 150 Dual Sim",
"Vivo Y81i","2RAM"
"Xiaomi Redmi 5","2RAM"
"Samsung Galaxy S9","4RAM"
"Honor 20","6RAM"
"Samsung Galaxy J2 (2018)","2RAM"
"Apple iPhone X 256GB","3RAM"
"Nokia 1","1RAM"
"Asus Zenfone Max Pro M2 64GB","4RAM"
"Samsung Galaxy Fold","2RAM"
"Xiaomi Mi 9T","6RAM"
"Vivo Y90","2RAM"
"Honor View 20","6RAM"
"Samsung Metro B350E","2RAM"
"Vivo Y12 64GB","3RAM"
"Samsung Galaxy On8 2018","4RAM"
"Vivo iQOO Neo","6RAM"
"OnePlus 6T 256GB","8RAM"
"Oppo R17 Pro","8RAM"
"Realme 2 Pro 6GB RAM","6RAM"
