"Name","Operating System","Display","Camera","Battery","Special Features""Mobile Phones",,,,,,,,
"Vivo Z1 Pro","Android v9.0 (Pie)","6.53 inches (16.59 cm) bezel-less display with punch-hole display","16 + 8 + 2 MP Triple Rear Cameras 32 MP Front Camera","5000 mAh battery with Fast Charging","Rear Fingerprint Sensor 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 7 Pro","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 13 MP Front Camera","4000 mAh battery with Quick Charging v4.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme C2 2GB RAM","Android v9.0 (Pie)","6.1 inches (15.49 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 5 MP Front Camera","4000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme C2","Android v9.0 (Pie)","6.1 inches (15.49 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 5 MP Front Camera","4000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone 6 128GB Price","iOS v8 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","8 MP Rear Camera 1.2 MP Front Camera","1810 mAh battery","Front Fingerprint Sensor 3.5 mm headphone jack present",,,
"Apple iPhone 6 64GB Price","iOS v8 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","8 MP Rear Camera 1.2 MP Front Camera","1810 mAh battery","Front Fingerprint Sensor 3.5 mm headphone jack present",,,
"Realme C2 32GB","Android v9.0 (Pie)","6.1 inches (15.49 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 5 MP Front Camera","4000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 7S","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 13 MP Front Camera","4000 mAh battery with Quick Charging v4.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Samsung Galaxy A50","Android v9.0 (Pie)","6.4 inches (16.26 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","25 + 5 + 8 MP Triple Rear Cameras 25 MP Front Camera","4000 mAh battery with Fast Charging","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme 3 Pro","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","16 + 5 MP Dual Rear Cameras 25 MP Front Camera","4045 mAh battery with VOOC Charging v3.0, charges upto 50% in 30 minutes","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme 3","Android v9.0 (Pie)","6.2 inches (15.75 cm) bezel-less display with notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 13 MP Front Camera","4230 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 7 Pro 6GB RAM","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 13 MP Front Camera","4000 mAh battery with Quick Charging v4.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Samsung Galaxy M40","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with punch-hole display Gorilla Glass 5 Protection","32 + 8 + 5 MP Triple Rear Cameras 16 MP Front Camera","3500 mAh battery with Fast Charging","Rear Fingerprint Sensor Face Unlock No 3.5 mm headphone jack present",,,
"Realme 3i","Android v9.0 (Pie)","6.22 inches (15.8 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 13 MP Front Camera","4230 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone 6 32GB","iOS v10 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","8 MP Rear Camera 1.2 MP Front Camera","1810 mAh battery","Front Fingerprint Sensor 3.5 mm headphone jack present",,,
